,alumnus,organisation,place,country
2852,Mikael Ejdebäck,Skövde University College,Skövde Municipality,Sweden
2853,Audrius Brazdeikis,University of Houston,Houston,United States of America
2854,Erik Angner,University of Alabama at Birmingham,Birmingham,United States of America
2855,Per Enflo,Kent State University,Kent,United States of America
2856,Daniel Lundin,University of Paris-Sud,Orsay,France
2857,Johannes Sjöstrand,University of Paris-Sud,Orsay,France
2858,Alexander Ljungqvist,London Business School,London,United Kingdom
2859,Alexander Ljungqvist,London Business School,City of Westminster,United Kingdom
2860,Allan Klynne,Swedish Institute at Athens,Athens,Greece
2861,Åke Åkerström,Swedish Institute at Athens,Athens,Greece
2862,Jessica M Lindvall,Max Planck Institute for Evolutionary Biology,Plön,Germany
2863,Meemann Chang,Institute of Vertebrate Paleontology and Paleoanthropology,Beijing,People's Republic of China
2864,Martin Larsson,Södersjukhuset,Stockholm Municipality,Sweden
2865,Italo Masiello,Södersjukhuset,Stockholm Municipality,Sweden
2866,Parastou Farahnak,Södersjukhuset,Stockholm Municipality,Sweden
2867,Tobias Laurell,Södersjukhuset,Stockholm Municipality,Sweden
2868,Martin Larsson,Södersjukhuset,Stockholm Municipality,Sweden
2869,Ashis Biswas,University of Saskatchewan,Saskatoon,Canada
2870,Ivar Mendez,University of Saskatchewan,Saskatoon,Canada
2871,Anthony S Gunnell,University of Western Australia,Western Australia,Australia
2872,Mário Mil-Homens,Instituto Português do Mar e da Atmosfera,Lisbon,Portugal
2873,Jinyue Yan,Mälardalen University College,Västerås Municipality,Sweden
2874,Jinyue Yan,Mälardalen University College,Eskilstuna Municipality,Sweden
2875,Monir Mazaheri,Mälardalen University College,Västerås Municipality,Sweden
2876,Monir Mazaheri,Mälardalen University College,Eskilstuna Municipality,Sweden
2877,Åsa Snöljung,Mälardalen University College,Västerås Municipality,Sweden
2878,Åsa Snöljung,Mälardalen University College,Eskilstuna Municipality,Sweden
2879,Staffan Stranne,Mälardalen University College,Västerås Municipality,Sweden
2880,Staffan Stranne,Mälardalen University College,Eskilstuna Municipality,Sweden
2881,Muhammad Ali,University of the Punjab,Lahore,Pakistan
2882,Jan T Svensson,University of Évora,"União das Freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",Portugal
2883,Erik Hemmingsson,Swedish School of Sport and Health Sciences,Stockholm Municipality,Sweden
2884,William Apró,Swedish School of Sport and Health Sciences,Stockholm Municipality,Sweden
2885,William Apró,Swedish School of Sport and Health Sciences,Stockholm Municipality,Sweden
2886,Paul Åberg,Götaverken,Gothenburg Municipality,Sweden
2887,Juha M. Alatalo,Qatar University,Doha,Qatar
2888,Alfred Grenander,Unterrichtsanstalt des Kunstgewerbemuseums Berlin,Berlin,Germany
2889,Patrik R. Lennartsson,University of Borås,Borås,Sweden
2890,Lina Palmér,University of Borås,Borås,Sweden
2891,Sepideh Olausson,University of Borås,Borås,Sweden
2892,Anders Bremer,University of Borås,Borås,Sweden
2893,Helena Francke,University of Borås,Borås,Sweden
2894,Gesa Praetorius,World Maritime University,Malmö,Sweden
2895,Gaurav K. Varshney,National Human Genome Research Institute,Bethesda,United States of America
2896,Giuseppe Lazzara,University of Palermo,Palermo,Italy
2897,Sven Liljeblad,Idaho State University,Pocatello,United States of America
2898,Sven Liljeblad,Idaho State University,Idaho Falls,United States of America
2899,Sven Liljeblad,Idaho State University,Twin Falls,United States of America
2900,Sven Liljeblad,Idaho State University,Meridian,United States of America
2901,Johann Christian Daniel von Schreber,Union of German Academies of Sciences and Humanities,Berlin,Germany
2902,Aileen King,Joslin Diabetes Center,Boston,United States of America
2903,Furqan A. Shah,University of Plymouth,Plymouth,United Kingdom
2904,Furqan A. Shah,University of Plymouth,City of Plymouth,United Kingdom
2905,Gerard Pokruszyński,Warsaw University of Technology,Warsaw,Poland
2906,Vinit Parida,University of Vaasa,Vaasa,Finland
2907,Per Larsson,Norwegian University of Life Sciences,Ås,Norway
2908,Daniel Ocampo Daza,"University of California, Merced",California,United States of America
2909,Soheil Damangir,Karolinska University Hospital,Solna Municipality,Sweden
2910,Soheil Damangir,Karolinska University Hospital,Huddinge Municipality,Sweden
2911,Olof Beck,Karolinska University Hospital,Solna Municipality,Sweden
2912,Olof Beck,Karolinska University Hospital,Huddinge Municipality,Sweden
2913,Andrej Weintraub,Karolinska University Hospital,Solna Municipality,Sweden
2914,Andrej Weintraub,Karolinska University Hospital,Huddinge Municipality,Sweden
2915,Guro Gafvelin,Karolinska University Hospital,Solna Municipality,Sweden
2916,Guro Gafvelin,Karolinska University Hospital,Huddinge Municipality,Sweden
2917,Mats J. Olsson,Karolinska University Hospital,Solna Municipality,Sweden
2918,Mats J. Olsson,Karolinska University Hospital,Huddinge Municipality,Sweden
2919,Fredrik Klevebro,Karolinska University Hospital,Solna Municipality,Sweden
2920,Fredrik Klevebro,Karolinska University Hospital,Huddinge Municipality,Sweden
2921,Per Ljungman,Karolinska University Hospital,Solna Municipality,Sweden
2922,Per Ljungman,Karolinska University Hospital,Huddinge Municipality,Sweden
2923,Stefan Sjöberg,Karolinska University Hospital,Solna Municipality,Sweden
2924,Stefan Sjöberg,Karolinska University Hospital,Huddinge Municipality,Sweden
2925,Eva Karltorp,Karolinska University Hospital,Solna Municipality,Sweden
2926,Eva Karltorp,Karolinska University Hospital,Huddinge Municipality,Sweden
2927,Soheil Damangir,Karolinska University Hospital,Solna Municipality,Sweden
2928,Soheil Damangir,Karolinska University Hospital,Huddinge Municipality,Sweden
2929,Hans Forssberg,Karolinska University Hospital,Solna Municipality,Sweden
2930,Hans Forssberg,Karolinska University Hospital,Huddinge Municipality,Sweden
2931,Christian Olsson,Karolinska University Hospital,Solna Municipality,Sweden
2932,Christian Olsson,Karolinska University Hospital,Huddinge Municipality,Sweden
2933,Maria Jirwe,Karolinska University Hospital,Solna Municipality,Sweden
2934,Maria Jirwe,Karolinska University Hospital,Huddinge Municipality,Sweden
2935,Eric Peter Thelin,Karolinska University Hospital,Solna Municipality,Sweden
2936,Eric Peter Thelin,Karolinska University Hospital,Huddinge Municipality,Sweden
2937,Katarina Westling,Karolinska University Hospital,Solna Municipality,Sweden
2938,Katarina Westling,Karolinska University Hospital,Huddinge Municipality,Sweden
2939,Gunilla Ajne,Karolinska University Hospital,Solna Municipality,Sweden
2940,Gunilla Ajne,Karolinska University Hospital,Huddinge Municipality,Sweden
2941,Staffan Rosenborg,Karolinska University Hospital,Solna Municipality,Sweden
2942,Staffan Rosenborg,Karolinska University Hospital,Huddinge Municipality,Sweden
2943,Andrej Weintraub,Karolinska University Hospital,Solna Municipality,Sweden
2944,Andrej Weintraub,Karolinska University Hospital,Huddinge Municipality,Sweden
2945,Patrik Fazio,Karolinska University Hospital,Solna Municipality,Sweden
2946,Patrik Fazio,Karolinska University Hospital,Huddinge Municipality,Sweden
2947,Paul Gerdhem,Karolinska University Hospital,Solna Municipality,Sweden
2948,Paul Gerdhem,Karolinska University Hospital,Huddinge Municipality,Sweden
2949,Max Bell,Karolinska University Hospital,Solna Municipality,Sweden
2950,Max Bell,Karolinska University Hospital,Huddinge Municipality,Sweden
2951,Erik Hemmingsson,Karolinska University Hospital,Solna Municipality,Sweden
2952,Erik Hemmingsson,Karolinska University Hospital,Huddinge Municipality,Sweden
2953,Mats Eriksson,Karolinska University Hospital,Solna Municipality,Sweden
2954,Mats Eriksson,Karolinska University Hospital,Huddinge Municipality,Sweden
2955,Zoltan Nagy,Karolinska University Hospital,Solna Municipality,Sweden
2956,Zoltan Nagy,Karolinska University Hospital,Huddinge Municipality,Sweden
2957,Malin Jonsson Fagerlund,Karolinska University Hospital,Solna Municipality,Sweden
2958,Malin Jonsson Fagerlund,Karolinska University Hospital,Huddinge Municipality,Sweden
2959,Lars Naver,Karolinska University Hospital,Solna Municipality,Sweden
2960,Lars Naver,Karolinska University Hospital,Huddinge Municipality,Sweden
2961,Anna Nilsson,Karolinska University Hospital,Solna Municipality,Sweden
2962,Anna Nilsson,Karolinska University Hospital,Huddinge Municipality,Sweden
2963,Marie Nilsson,Karolinska University Hospital,Solna Municipality,Sweden
2964,Marie Nilsson,Karolinska University Hospital,Huddinge Municipality,Sweden
2965,Jessica M Lindvall,Karolinska University Hospital,Solna Municipality,Sweden
2966,Jessica M Lindvall,Karolinska University Hospital,Huddinge Municipality,Sweden
2967,Hong Qian,Karolinska University Hospital,Solna Municipality,Sweden
2968,Hong Qian,Karolinska University Hospital,Huddinge Municipality,Sweden
2969,Anders Näsman,Karolinska University Hospital,Solna Municipality,Sweden
2970,Anders Näsman,Karolinska University Hospital,Huddinge Municipality,Sweden
2971,Shahram Bahmanyar,Karolinska University Hospital,Solna Municipality,Sweden
2972,Shahram Bahmanyar,Karolinska University Hospital,Huddinge Municipality,Sweden
2973,Siavash Maghsoudlou,Karolinska University Hospital,Solna Municipality,Sweden
2974,Siavash Maghsoudlou,Karolinska University Hospital,Huddinge Municipality,Sweden
2975,Ewa C Ellis,Karolinska University Hospital,Solna Municipality,Sweden
2976,Ewa C Ellis,Karolinska University Hospital,Huddinge Municipality,Sweden
2977,Mohsen Khademi,Karolinska University Hospital,Solna Municipality,Sweden
2978,Mohsen Khademi,Karolinska University Hospital,Huddinge Municipality,Sweden
2979,Marianne Schultzberg,Karolinska University Hospital,Solna Municipality,Sweden
2980,Marianne Schultzberg,Karolinska University Hospital,Huddinge Municipality,Sweden
2981,Rebecka Hultgren,Karolinska University Hospital,Solna Municipality,Sweden
2982,Rebecka Hultgren,Karolinska University Hospital,Huddinge Municipality,Sweden
2983,Mattias Carlsten,Karolinska University Hospital,Solna Municipality,Sweden
2984,Mattias Carlsten,Karolinska University Hospital,Huddinge Municipality,Sweden
2985,Jan Albert,Karolinska University Hospital,Solna Municipality,Sweden
2986,Jan Albert,Karolinska University Hospital,Huddinge Municipality,Sweden
2987,Marie Wahren-Herlenius,Karolinska University Hospital,Solna Municipality,Sweden
2988,Marie Wahren-Herlenius,Karolinska University Hospital,Huddinge Municipality,Sweden
2989,Anne-Marie Boström,Karolinska University Hospital,Solna Municipality,Sweden
2990,Anne-Marie Boström,Karolinska University Hospital,Huddinge Municipality,Sweden
2991,Lars Frelin,Karolinska University Hospital,Solna Municipality,Sweden
2992,Lars Frelin,Karolinska University Hospital,Huddinge Municipality,Sweden
2993,Guro Gafvelin,Karolinska University Hospital,Solna Municipality,Sweden
2994,Guro Gafvelin,Karolinska University Hospital,Huddinge Municipality,Sweden
2995,Stefan Sjöberg,Karolinska University Hospital,Solna Municipality,Sweden
2996,Stefan Sjöberg,Karolinska University Hospital,Huddinge Municipality,Sweden
2997,Marija Simic,Karolinska University Hospital,Solna Municipality,Sweden
2998,Marija Simic,Karolinska University Hospital,Huddinge Municipality,Sweden
2999,Malin Holzmann,Karolinska University Hospital,Solna Municipality,Sweden
3000,Malin Holzmann,Karolinska University Hospital,Huddinge Municipality,Sweden
3001,J Holm,Karolinska University Hospital,Solna Municipality,Sweden
3002,J Holm,Karolinska University Hospital,Huddinge Municipality,Sweden
3003,Lena Blomgren,Karolinska University Hospital,Solna Municipality,Sweden
3004,Lena Blomgren,Karolinska University Hospital,Huddinge Municipality,Sweden
3005,Märit Wallander,Karolinska University Hospital,Solna Municipality,Sweden
3006,Märit Wallander,Karolinska University Hospital,Huddinge Municipality,Sweden
3007,Neda Rajamand Ekberg,Karolinska University Hospital,Solna Municipality,Sweden
3008,Neda Rajamand Ekberg,Karolinska University Hospital,Huddinge Municipality,Sweden
3009,C. I. Edvard Smith,Karolinska University Hospital,Solna Municipality,Sweden
3010,C. I. Edvard Smith,Karolinska University Hospital,Huddinge Municipality,Sweden
3011,Emma Larsson,Karolinska University Hospital,Solna Municipality,Sweden
3012,Emma Larsson,Karolinska University Hospital,Huddinge Municipality,Sweden
3013,Johan Gäverth,Karolinska University Hospital,Solna Municipality,Sweden
3014,Johan Gäverth,Karolinska University Hospital,Huddinge Municipality,Sweden
3015,Anna Nordenström,Karolinska University Hospital,Solna Municipality,Sweden
3016,Anna Nordenström,Karolinska University Hospital,Huddinge Municipality,Sweden
3017,Satu Turunen-Taheri,Karolinska University Hospital,Solna Municipality,Sweden
3018,Satu Turunen-Taheri,Karolinska University Hospital,Huddinge Municipality,Sweden
3019,C Nilsson,Karolinska University Hospital,Solna Municipality,Sweden
3020,C Nilsson,Karolinska University Hospital,Huddinge Municipality,Sweden
3021,Anna Ohlsson,Karolinska University Hospital,Solna Municipality,Sweden
3022,Anna Ohlsson,Karolinska University Hospital,Huddinge Municipality,Sweden
3023,Lars Enochsson,Karolinska University Hospital,Solna Municipality,Sweden
3024,Lars Enochsson,Karolinska University Hospital,Huddinge Municipality,Sweden
3025,Ylva Orrevall,Karolinska University Hospital,Solna Municipality,Sweden
3026,Ylva Orrevall,Karolinska University Hospital,Huddinge Municipality,Sweden
3027,Fritjof Norrelgen,Karolinska University Hospital,Solna Municipality,Sweden
3028,Fritjof Norrelgen,Karolinska University Hospital,Huddinge Municipality,Sweden
3029,Bahman Farahmand,Karolinska University Hospital,Solna Municipality,Sweden
3030,Bahman Farahmand,Karolinska University Hospital,Huddinge Municipality,Sweden
3031,Farshad Falahati,Karolinska University Hospital,Solna Municipality,Sweden
3032,Farshad Falahati,Karolinska University Hospital,Huddinge Municipality,Sweden
3033,Hareth Nahi,Karolinska University Hospital,Solna Municipality,Sweden
3034,Hareth Nahi,Karolinska University Hospital,Huddinge Municipality,Sweden
3035,Petter Brodin,Karolinska University Hospital,Solna Municipality,Sweden
3036,Petter Brodin,Karolinska University Hospital,Huddinge Municipality,Sweden
3037,Aditya S Ambati,Karolinska University Hospital,Solna Municipality,Sweden
3038,Aditya S Ambati,Karolinska University Hospital,Huddinge Municipality,Sweden
3039,Michael Nekludov,Karolinska University Hospital,Solna Municipality,Sweden
3040,Michael Nekludov,Karolinska University Hospital,Huddinge Municipality,Sweden
3041,Nelson Ndegwa,Karolinska University Hospital,Solna Municipality,Sweden
3042,Nelson Ndegwa,Karolinska University Hospital,Huddinge Municipality,Sweden
3043,Izaura Lima Bomfim,Karolinska University Hospital,Solna Municipality,Sweden
3044,Izaura Lima Bomfim,Karolinska University Hospital,Huddinge Municipality,Sweden
3045,Leonard Girnita,Karolinska University Hospital,Solna Municipality,Sweden
3046,Leonard Girnita,Karolinska University Hospital,Huddinge Municipality,Sweden
3047,Fredrik Wilhelm Klint,Östergarn Church,Gotland Municipality,Sweden
3048,Otto Steiger,University of Trieste,Trieste,Italy
3049,Gesa Praetorius,Linnaeus University,Växjö Municipality,Sweden
3050,Gesa Praetorius,Linnaeus University,Kalmar Municipality,Sweden
3051,Stephen Hwang,Linnaeus University,Växjö Municipality,Sweden
3052,Stephen Hwang,Linnaeus University,Kalmar Municipality,Sweden
3053,Jannis Kallinikos,Linnaeus University,Växjö Municipality,Sweden
3054,Jannis Kallinikos,Linnaeus University,Kalmar Municipality,Sweden
3055,Daniel Lundin,Linnaeus University,Växjö Municipality,Sweden
3056,Daniel Lundin,Linnaeus University,Kalmar Municipality,Sweden
3057,Magnus Carlsson,Linnaeus University,Växjö Municipality,Sweden
3058,Magnus Carlsson,Linnaeus University,Kalmar Municipality,Sweden
3059,Petter Tibblin,Linnaeus University,Växjö Municipality,Sweden
