,alumnus,place,country,university
408,Erik Wallenberg,Sala,Sweden,Karolinska Institute
409,Oskar Klein,Stockholm,Sweden,Stockholm University
410,Hanna Ljungberg,Umeå,Sweden,Umeå University
411,Britta Johansson Norgren,Luleå Municipality,Sweden,Mid Sweden University
412,Magnus Alkarp,Uppsala,Sweden,Uppsala University
413,Nina Stemme,Stockholm,Sweden,Stockholm University
414,Birger Bohlin,Lidköping,Sweden,Uppsala University
415,Aris Fioretos,Gothenburg,Sweden,Stockholm University
416,Christofer Fjellner,Västerås,Sweden,Lund University
417,Christofer Fjellner,Västerås,Sweden,Uppsala University
418,Oscar Levertin,Gryts församling,Sweden,Uppsala University
419,Gustaf Aulén,Ljungby församling,Sweden,Uppsala University
420,Gunnar Rudberg,Skaraborg County,Sweden,Uppsala University
421,Sverker Åström,Uppsala,Sweden,Uppsala University
422,Sigurd Agrell,Rämmens församling,Sweden,Uppsala University
423,Arne Beurling,Gothenburg,Sweden,Uppsala University
424,Henric Benzelius,Strängnäs stadsförsamling,Sweden,Uppsala University
425,Alfred Grenander,Skövde,Sweden,Royal Institute of Technology
426,Sigvard Arne Eklund,Kiruna,Sweden,Uppsala University
427,Ivar Kreuger,Kalmar,Sweden,Royal Institute of Technology
428,Roy Andersson,Gothenburg,Sweden,Lund University
429,Emil Jönsson,Sandviken,Sweden,Mid Sweden University
430,Janne Holmén,Jomala,Finland,Uppsala University
431,Elis Strömgren,Helsingborg,Sweden,Lund University
432,Sven Delblanc,Swan River,Canada,Uppsala University
433,Georg F.L. Sarauw,Vordingborg,Denmark,Uppsala University
434,Hans Riesel,Stockholm,Sweden,Stockholm University
435,Pehr Henrik Ling,Södra Ljunga församling,Sweden,Lund University
436,Pehr Henrik Ling,Södra Ljunga församling,Sweden,Uppsala University
