,alumnusLabel,birthplaceLabel,birthplacecountryLabel,universityLabel
1842,Sven Adolf Hedlund,Färentuna församling,Sweden,Uppsala University
1843,Lennart Hedquist,Västerbotten,Sweden,Uppsala University
1844,Karl Hedvall,Gävle Heliga Trefaldighets,Sweden,Uppsala University
1845,Carl-Henrik Heldin,Växjö,Sweden,Uppsala University
1846,Mauritz Hellberg,Långseruds församling,Sweden,Uppsala University
1847,Alfred Hellerström,Stockholm,Sweden,Royal Institute of Technology
1848,Johannes Hellner,Svedala,Sweden,Lund University
1849,Håkan Hellström,Vänersborg,Sweden,University of Gothenburg
1850,Mats Hellström,Stockholm,Sweden,Stockholm University
1851,Paul Hellström,Umeå,Sweden,Uppsala University
1852,Pontus Herman Henriques,Gothenburg,Sweden,Chalmers University of Technology
1853,Nils Heribert-Nilsson,Skivarps församling,Sweden,Lund University
1854,Ivar Herlitz,Hedvig Eleonora församling,Sweden,Royal Institute of Technology
1855,Olof Herrlin,Lund,Sweden,Lund University
1856,Olof Herrlin,Lund,Sweden,Uppsala University
1857,Carl Herslow,Karlskrona,Sweden,Lund University
1858,Hans Hertz,Lund,Sweden,Lund University
1859,Christopher Isac Heurlin,Åseda socken,Sweden,Lund University
1860,Hildemar Hildebrand,Stockholm,Sweden,Uppsala University
1861,Sven Hirdman,Stavanger,Norway,Uppsala University
1862,Lars Ivar Hising,Stockholm,Sweden,Royal Institute of Technology
1863,Henrik Hjelt,Lidingö (island),Sweden,Uppsala University
1864,Ragnar Hjorth,Stockholm,Sweden,Royal Institute of Technology
1865,Erland Hjärne,Uppsala Cathedral Assembly,Sweden,Uppsala University
1866,Petrus Hoffvenius,Ärla församling,Sweden,Uppsala University
1867,Dennis Töllborg,Annedal,Sweden,Lund University
1868,Hilding Törnebohm,Ljungbyholm,Sweden,Royal Institute of Technology
1869,Algot Törneman,Sturefors,Sweden,Lund University
1870,Michael Törnflycht,Stockholm,Sweden,Uppsala University
1871,Olof Törnflycht,Stockholm,Sweden,Uppsala University
1872,Gunnar Törnqvist,Ljungby,Sweden,Stockholm University
1873,Nils Uddenberg,Lund,Sweden,Lund University
1874,Karl-Lennart Uggla,Hardemo socken,Sweden,Stockholm University
1875,Carl David af Uhr,Ovansjö församling,Sweden,Uppsala University
1876,Jörgen Ullenhag,Arvika,Sweden,Uppsala University
1877,Erik Ulrich,Hedvig Eleonora församling,Sweden,Royal Institute of Technology
1878,Erik Adolf Unge,Främmestad,Sweden,Chalmers University of Technology
1879,Abraham Unger,Söderala church parish,Sweden,Uppsala University
1880,Erik Upmark,Uppsala,Sweden,Royal Institute of Technology
1881,Guido Valentin,Gothenburg,Sweden,Stockholm University
1882,Mats Viberg,Linköping,Sweden,Linköping University
1883,Hans Wachtmeister the elder,Valje,Sweden,Lund University
1884,Hans Wachtmeister the younger,Karlskrona,Sweden,Uppsala University
1885,Hans Hansson Wachtmeister,Tromtö House,Sweden,Uppsala University
1886,Johan Anders Wadman,Drottningskär,Sweden,Lund University
1887,Bernhard Wadström,Uppsala Cathedral Assembly,Sweden,Uppsala University
1888,Jonas Wærn,Billingsfors,Sweden,Uppsala University
1889,Ruben Wagnsson,Örebro,Sweden,Lund University
